,name,steam_id,developers,reviews,positives,is_free,units_sold,prices_eu,final_revenue,genre
480490,Prey,480490,Arkane Studios,13214,11972,False,396420,11.99,4753075.8,"Action, Adventure"
424840,Little Nightmares,424840,Tarsier Studios,10728,9999,False,321840,,,Adventure
450540,"Hot Dogs, Horseshoes & Hand Grenades",450540,RUST LTD.,10302,9995,False,309060,19.99,6178109.399999999,"Action, Indie, Simulation, Early Access"
434570,Blood and Bacon,434570,Big Corporation,10112,9695,False,303360,0.99,300326.4,"Action, Adventure, Casual"
427730,Who's Your Daddy?!,427730,Evil Tortilla Games,10073,7792,False,302190,3.99,1205738.1,"Action, Casual, Indie"
504370,Battlerite,504370,Stunlock Studios,9751,8548,True,292530,,,"Action, Free to Play"
454650,DRAGON BALL XENOVERSE 2,454650,"QLOC,DIMPS",9539,8133,False,286170,49.99,14305638.3,"Action, Adventure, Casual, Massively Multiplayer"
447820,Day of Infamy,447820,New World Interactive,9196,7940,False,275880,12.49,3445741.2,"Action, Indie, Strategy"
489940,BATTALION 1944,489940,Bulkhead Interactive,9049,5592,False,271470,19.99,5426685.3,"Action, Massively Multiplayer"
501300,What Remains of Edith Finch,501300,Giant Sparrow,8460,7941,False,253800,19.99,5073462.0,"Adventure, Indie"
437220,The Culling,437220,Xaviant,8443,4890,False,253290,,,"Action, Free to Play, Indie"
447530,VA-11 Hall-A: Cyberpunk Bartender Action,447530,Sukeban Games,8332,8090,False,249960,14.99,3746900.4,"Adventure, Indie, Simulation"
488790,South Park™: The Fractured But Whole™,488790,Ubisoft San Francisco,8104,6325,False,243120,59.99,14584768.8,RPG
481510,Night in the Woods,481510,Infinite Fall,8061,7593,False,241830,19.99,4834181.699999999,Adventure
460920,Steep™,460920,"Ubisoft Annecy,Ubisoft Montpellier,Ubisoft Kiev",6606,5431,False,198180,29.99,5943418.199999999,"Action, Sports"
425580,The Room Two,425580,Fireproof Games,6392,6245,False,191760,4.99,956882.4,"Adventure, Indie"
473690,Absolver,473690,Sloclap,6320,4522,False,189600,29.99,5686104.0,"Action, Adventure, Indie"
428690,Youtubers Life,428690,UPLAY Online,6293,4748,False,188790,24.99,4717862.1,"Adventure, Casual, Indie, Simulation, Strategy"
447020,Farming Simulator 17,447020,GIANTS Software,6072,5614,False,182160,14.99,2730578.4,Simulation
460790,Bayonetta,460790,PlatinumGames,5489,4996,False,164670,19.99,3291753.3,"Action, Adventure"
427290,Vampyr,427290,DONTNOD Entertainment,5453,4071,False,163590,39.99,6541964.100000001,"Action, RPG"
475150,Titan Quest Anniversary Edition,475150,"Iron Lore Entertainment,THQ Nordic",5283,4779,False,158490,19.99,3168215.0999999996,"Action, RPG"
451340,Gold Rush: The Game,451340,Code Horizon,4851,3316,False,145530,19.99,2909144.6999999997,"Indie, Simulation"
498240,Batman - The Telltale Series,498240,Telltale,4842,3897,False,145260,14.99,2177447.4,Adventure
429660,Tales of Berseria™,429660,BANDAI NAMCO Studios Inc.,4628,4284,False,138840,49.99,6940611.600000001,"Action, RPG"
1127400,Mindustry,1127400,AnukenDev,4440,4290,False,133200,4.99,664668.0,Strategy
424030,War of Rights,424030,Campfire Games,4417,3785,False,132510,24.99,3311424.9,"Action, Indie, Simulation, Strategy, Early Access"
462770,Pyre,462770,Supergiant Games,4324,3900,False,129720,16.79,2177998.8,"Action, Indie, RPG"
445980,Wizard of Legend,445980,Contingent99,4305,3958,False,129150,15.99,2065108.5,"Action, Adventure, Indie"
474960,Quantum Break,474960,Remedy Entertainment,4275,3531,False,128250,36.99,4743967.5,Action
423230,Furi,423230,The Game Bakers,4272,3948,False,128160,19.99,2561918.4,Action
1128000,Cube World,1128000,Picroma,4226,1745,False,126780,19.99,2534332.1999999997,"Adventure, Indie, RPG"
493900,Dungeons 3,493900,Realmforge Studios,4166,3882,False,124980,29.99,3748150.1999999997,"Simulation, Strategy"
503560,911 Operator,503560,Jutsu Games,4075,3567,False,122250,14.99,1832527.5,"Casual, Indie, Simulation, Strategy"
491950,Orwell: Keeping an Eye On You,491950,Osmotic Studios,4061,3712,False,121830,9.99,1217081.7,"Adventure, Indie, Simulation"
422970,Devil Daggers,422970,Sorath,4007,3867,False,120210,3.99,479637.9,"Action, Indie"
449960,Book of Demons,449960,Thing Trunk,3941,3553,False,118230,22.99,2718107.6999999997,"Action, Adventure, Casual, Indie, RPG"
495890,Montaro,495890,JCKSLAP,3916,3739,False,117480,0.99,116305.2,"Casual, Indie"
446800,Transport Fever,446800,Urban Games,3794,3055,False,113820,29.99,3413461.8,Simulation
502520,Ultimate General: Civil War,502520,Game-Labs,3775,3344,False,113250,27.99,3169867.5,"Indie, Simulation, Strategy"
448510,Overcooked,448510,Ghost Town Games Ltd.,3710,3445,False,111300,15.99,1779687.0,"Action, Casual, Indie, Simulation"
431730,Aseprite,431730,David Capello,3496,3478,False,104880,,,"Animacja i modelowanie, Projektowanie i ilustrowanie, Produkcja gier"
499520,The Turing Test,499520,Bulkhead Interactive,3484,3040,False,104520,19.99,2089354.7999999998,Adventure
464060,RUINER,464060,Reikon Games,3404,3093,False,102120,19.99,2041378.7999999998,"Action, Indie"
456750,The Room Three,456750,Fireproof Games,3299,3177,False,98970,5.99,592830.3,"Adventure, Indie"
459220,Halo Wars: Definitive Edition,459220,"Ensemble Studios,Behaviour Interactive,343 Industries",3218,2928,False,96540,19.99,1929834.5999999999,Strategy
426000,HunieCam Studio,426000,HuniePot,3214,2796,False,96420,6.99,673975.8,"Indie, Simulation"
1148650,The Legend of Bum-Bo,1148650,"Edmund McMillen,James Interactive,Ridiculon",3122,2461,False,93660,12.49,1169813.4,"Adventure, Indie, Strategy"
446020,Jalopy,446020,Minskworks,3054,2381,False,91620,13.99,1281763.8,"Adventure, Indie, Simulation"
496300,Kingdom: New Lands,496300,Noio,3026,2631,False,90780,14.99,1360792.2,"Indie, Simulation, Strategy"
433950,Bit Blaster XL,433950,Adamvision Studios,2973,2892,False,89190,0.79,70460.1,"Action, Casual, Indie"
440650,Niche - a genetics survival game,440650,Stray Fawn Studio,2924,2659,False,87720,14.99,1314922.8,"Indie, Simulation, Strategy"
487120,Citadel: Forged with Fire,487120,"Blue Isle Studios,Virtual Basement LLC",2860,1879,False,85800,33.99,2916342.0,"Action, Adventure, Indie, Massively Multiplayer, RPG"
503940,Railway Empire,503940,Gaming Minds Studios,2776,2223,False,83280,29.99,2497567.1999999997,"Simulation, Strategy"
1126320,Being a DIK - Season 1,1126320,Dr PinkCake,2740,2682,False,82200,11.59,952698.0,Indie
434170,The Jackbox Party Pack 3,434170,"Jackbox Games, Inc.",2667,2596,False,80010,22.99,1839429.9,"Casual, Indie, Strategy"
1148590,DOOM 64,1148590,"id Software,Nightdive Studios",2576,2429,False,77280,1.24,95827.2,Action
1140270,Monster Prom 2: Monster Camp,1140270,Beautiful Glitch,2527,2485,False,75810,11.99,908961.9,"Indie, Simulation"
460810,Vanquish,460810,"PlatinumGames,Little Stone Software",2483,2227,False,74490,19.99,1489055.0999999999,Action
493490,City Car Driving,493490,"Forward Development, Ltd.",2402,1694,False,72060,23.49,1692689.4,"Indie, Racing, Simulation"
435400,Hidden Folks,435400,"Adriaan de Jongh,Sylvain Tegroeg",2389,2312,False,71670,11.99,859323.3,"Adventure, Casual, Indie"
443810,This Is the Police,443810,Weappy Studio,2386,1760,False,71580,14.99,1072984.2,"Adventure, Indie, Strategy"
474750,Reigns,474750,Nerial,2286,1983,False,68580,2.99,205054.2,"Adventure, Indie, RPG, Simulation"
461430,EmergeNYC,461430,FlipSwitch Games,2205,1476,False,66150,20.99,1388488.5,"Action, Adventure, Casual, Indie, Massively Multiplayer, Racing, RPG, Simulation, Strategy, Early Access"
1122720,Sayonara Wild Hearts,1122720,Simogo,2159,2086,False,64770,10.79,698868.2999999999,"Action, Casual"
1123770,Curse of the Dead Gods,1123770,Passtech Games,2120,1858,False,63600,19.99,1271364.0,"Action, Adventure"
475550,Beholder,475550,Warm Lamp Games,2102,1689,False,63060,9.99,629969.4,"Adventure, Indie, Strategy"
1115690,"Yes, Your Grace",1115690,Brave At Night,2091,1791,False,62730,16.79,1053236.7,"Adventure, RPG, Simulation, Strategy"
1195460,Last Year,1195460,Elastic Games,2063,1355,False,61890,8.19,506879.1,Action
1142500,Fun with Ragdolls: The Game,1142500,Jadon Barnes,2043,1869,False,61290,12.49,765512.1,"Action, Indie, Simulation"
1184050,Gears Tactics,1184050,"Splash Damage,The Coalition",2028,1635,False,60840,39.99,2432991.6,Strategy
486310,Meadow,486310,Might and Delight,2005,1814,False,60150,3.99,239998.5,"Adventure, Indie, Massively Multiplayer"
451020,Battle Chasers: Nightwar,451020,Airship Syndicate,1951,1699,False,58530,29.99,1755314.7,"Indie, RPG"
427190,DEAD RISING®,427190,Capcom,1942,1790,False,58260,19.99,1164617.4,"Action, Adventure"
501590,Bulletstorm: Full Clip Edition,501590,People Can Fly,1879,1579,False,56370,36.99,2085126.3,"Action, Adventure"
496460,Life is Feudal: Forest Village,496460,Mindillusion,1877,1150,False,56310,22.99,1294566.9,"Indie, Simulation, Strategy"
477740,Zero Escape: The Nonary Games,477740,"Spike Chunsoft Co., Ltd.",1869,1785,False,56070,24.99,1401189.2999999998,Adventure
448280,Job Simulator,448280,Owlchemy Labs,1853,1685,False,55590,19.99,1111244.0999999999,Simulation
449800,Attack on Titan / A.O.T. Wings of Freedom,449800,"KOEI TECMO GAMES CO., LTD.",1848,1520,False,55440,59.99,3325845.6,Action
429570,The Walking Dead: Michonne - A Telltale Miniseries,429570,Telltale Games,1832,1371,False,54960,14.99,823850.4,Adventure
432350,Epic Battle Fantasy 5,432350,Matt Roszak,1797,1779,False,53910,16.99,915930.8999999999,"Adventure, RPG, Strategy"
480650,Yu-Gi-Oh! Legacy of the Duelist,480650,Other Ocean Interactive,1713,1407,False,51390,19.99,1027286.1,Simulation
449540,There's Poop In My Soup,449540,K Bros Games,1679,1501,False,50370,0.99,49866.3,"Casual, Indie"
433530,Heliborne Collection,433530,Klabater,1650,1258,False,49500,8.99,445005.0,"Action, Indie, Massively Multiplayer"
488310,Eleven Table Tennis,488310,For Fun Labs,1638,1564,False,49140,19.99,982308.6,"Casual, Simulation, Sports"
476620,Call of Duty®: WWII,476600,"Sledgehammer Games,Raven Software",1632,1250,False,48960,59.99,2937110.4,Action
470310,TROUBLESHOOTER: Abandoned Children,470310,Dandylion,1626,1534,False,48780,22.99,1121452.2,"Casual, Indie, RPG, Strategy"
